configuration,category,recall@1,recall@3,recall@5,mrr
150w_30o,adversarial_misleading,0.25,0.5,0.5,0.4523809523809524
150w_30o,conditional,0.65,0.7,0.95,0.845
150w_30o,direct_answerable,0.4,0.4666666666666667,0.4666666666666667,0.49261463844797176
150w_30o,multi_hop,0.45,0.6833333333333333,0.7333333333333333,1.0
150w_30o,partially_answerable,0.43666666666666665,0.76,0.78,0.8333333333333334
150w_30o,temporal,1.0,1.0,1.0,1.0
250w_40o,adversarial_misleading,0.5,0.75,0.75,0.6666666666666666
250w_40o,conditional,0.65,0.9,0.95,0.8833333333333334
250w_40o,direct_answerable,0.4,0.6,0.7333333333333333,0.5633333333333332
250w_40o,multi_hop,0.38333333333333336,0.7,0.7,0.8666666666666666
250w_40o,partially_answerable,0.6366666666666666,0.7933333333333333,0.8766666666666666,0.95
250w_40o,temporal,1.0,1.0,1.0,1.0
350w_50o,adversarial_misleading,0.5,0.75,0.75,0.6666666666666666
350w_50o,conditional,0.7,0.9,0.95,0.9
350w_50o,direct_answerable,0.5333333333333333,0.6,0.6666666666666666,0.6329365079365079
350w_50o,multi_hop,0.33333333333333337,0.65,0.7833333333333333,0.825
350w_50o,partially_answerable,0.5866666666666667,0.7933333333333333,0.8633333333333333,0.95
350w_50o,temporal,1.0,1.0,1.0,1.0
